matrix_name,matrix_point_id,matrix_purpose,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
B,B_002,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,32,2,1,1,2x2,2,80
B,B_003,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,128,2,0,1,2x2,2,80
B,B_004,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,128,2,1,1,2x2,2,80
B,B_005,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,32,2,0,1,2x2,2,80
B,B_006,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,32,2,1,1,2x2,2,80
B,B_007,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,128,2,0,1,2x2,2,80
B,B_008,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,128,2,1,1,2x2,2,80
B,B_009,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,32,2,0,1,2x2,2,80
B,B_010,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,32,2,1,1,2x2,2,80
B,B_011,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,128,2,0,1,2x2,2,80
B,B_012,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,128,2,1,1,2x2,2,80
B,B_013,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,32,2,0,1,2x2,2,80
B,B_014,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,32,2,1,1,2x2,2,80
B,B_015,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,128,2,0,1,2x2,2,80
B,B_016,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,128,2,1,1,2x2,2,80
C,C_001,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,2,40
C,C_002,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,2,80
C,C_003,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,3,40
C,C_004,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,2x2,3,80
C,C_005,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,2,40
C,C_006,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,2,80
C,C_007,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,3,40
C,C_008,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P1,512x512,6,32,2,1,1,4x4,3,80
C,C_009,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,2,40
C,C_010,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,2,80
C,C_011,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,3,40
C,C_012,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,2x2,3,80
C,C_013,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,2,40
C,C_014,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,2,80
C,C_015,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,3,40
C,C_016,系统瓶颈矩阵：观察并行度与互连是否限制大阵列收益,P2,512x512,6,32,2,1,1,4x4,3,80
D,D_001,压力边界矩阵：观察高非理想器件下设计何时失效,P3,128x128,6,32,2,1,1,2x2,2,80
D,D_002,压力边界矩阵：观察高非理想器件下设计何时失效,P3,128x128,7,32,2,1,1,2x2,2,80
D,D_003,压力边界矩阵：观察高非理想器件下设计何时失效,P3,512x512,6,32,2,1,1,2x2,2,80
D,D_004,压力边界矩阵：观察高非理想器件下设计何时失效,P3,512x512,7,32,2,1,1,2x2,2,80
D,D_005,压力边界矩阵：观察高非理想器件下设计何时失效,P4,128x128,6,32,2,1,1,2x2,2,80
D,D_006,压力边界矩阵：观察高非理想器件下设计何时失效,P4,128x128,7,32,2,1,1,2x2,2,80
D,D_007,压力边界矩阵：观察高非理想器件下设计何时失效,P4,512x512,6,32,2,1,1,2x2,2,80
D,D_008,压力边界矩阵：观察高非理想器件下设计何时失效,P4,512x512,7,32,2,1,1,2x2,2,80
